,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1291,25.721789264678954,0.6531461959566716,0.1297532558441162,0.013154238491993663,squared_error,0.005,4,0.5,20,50,400,"{'criterion': 'squared_error', 'learning_rate': 0.005, 'max_depth': 4, 'max_features': 0.5, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 400}",0.9470588235294117,0.9205882352941176,0.9176470588235294,0.9323529411764706,0.9470588235294117,0.9329411764705883,0.01253369161921325,1113,0.9551470588235295,0.9595588235294118,0.9639705882352941,0.9558823529411765,0.9544117647058824,0.9577941176470588,0.003559917187326518
1303,21.249600982666017,1.0422621201422924,0.06276459693908691,0.05187684034672084,squared_error,0.005,5,0.3,10,60,400,"{'criterion': 'squared_error', 'learning_rate': 0.005, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 60, 'n_estimators': 400}",0.9470588235294117,0.9205882352941176,0.9205882352941176,0.9352941176470588,0.9411764705882353,0.9329411764705883,0.010750392283821816,1113,0.9625,0.9683823529411765,0.9661764705882353,0.9632352941176471,0.9625,0.9645588235294118,0.0023437319780160544
316,28.58377432823181,0.42618134021401516,0.041770648956298825,0.040661718343673395,friedman_mse,0.005,4,0.5,20,40,400,"{'criterion': 'friedman_mse', 'learning_rate': 0.005, 'max_depth': 4, 'max_features': 0.5, 'min_samples_leaf': 20, 'min_samples_split': 40, 'n_estimators': 400}",0.95,0.9235294117647059,0.9117647058823529,0.9323529411764706,0.9470588235294117,0.9329411764705883,0.014336538361122265,1113,0.9558823529411765,0.9595588235294118,0.9647058823529412,0.9580882352941177,0.9580882352941177,0.959264705882353,0.0029631531881779134
1641,13.264193534851074,0.5345696595883223,0.03923296928405762,0.04076330427662909,squared_error,0.009,6,0.3,20,50,200,"{'criterion': 'squared_error', 'learning_rate': 0.009, 'max_depth': 6, 'max_features': 0.3, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 200}",0.9558823529411765,0.9205882352941176,0.9147058823529411,0.9411764705882353,0.9323529411764706,0.9329411764705883,0.014694112937408023,1113,0.9602941176470589,0.9654411764705882,0.9691176470588235,0.9632352941176471,0.9625,0.9641176470588236,0.0029922044043199604
1315,22.49275279045105,0.6533406731994084,0.08739690780639649,0.06441504175362914,squared_error,0.005,5,0.3,20,40,400,"{'criterion': 'squared_error', 'learning_rate': 0.005, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 20, 'min_samples_split': 40, 'n_estimators': 400}",0.9529411764705882,0.9205882352941176,0.9147058823529411,0.9382352941176471,0.9382352941176471,0.9329411764705883,0.013719886811400708,1113,0.9610294117647059,0.9661764705882353,0.9654411764705882,0.9602941176470589,0.9632352941176471,0.9632352941176471,0.002325204161888506
1258,21.74114418029785,0.516706015232069,0.13397278785705566,0.008768712606968295,squared_error,0.005,4,0.4,15,60,400,"{'criterion': 'squared_error', 'learning_rate': 0.005, 'max_depth': 4, 'max_features': 0.4, 'min_samples_leaf': 15, 'min_samples_split': 60, 'n_estimators': 400}",0.9470588235294117,0.9235294117647059,0.9176470588235294,0.9352941176470588,0.9411764705882353,0.9329411764705883,0.010910139406465527,1113,0.9529411764705882,0.9566176470588236,0.9625,0.9536764705882353,0.9536764705882353,0.9558823529411764,0.003541645464350681
1620,14.087941360473632,0.11822697250915876,0.055685234069824216,0.04623740295458903,squared_error,0.009,6,0.3,10,40,200,"{'criterion': 'squared_error', 'learning_rate': 0.009, 'max_depth': 6, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 40, 'n_estimators': 200}",0.9529411764705882,0.9176470588235294,0.9147058823529411,0.9352941176470588,0.9441176470588235,0.9329411764705883,0.014811386249428434,1113,0.9654411764705882,0.9727941176470588,0.9713235294117647,0.9691176470588235,0.9676470588235294,0.969264705882353,0.002605888992157248
310,27.076618051528932,0.7340177355244087,0.11194367408752441,0.04408141764151351,friedman_mse,0.005,4,0.5,15,50,400,"{'criterion': 'friedman_mse', 'learning_rate': 0.005, 'max_depth': 4, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 50, 'n_estimators': 400}",0.9470588235294117,0.9235294117647059,0.9205882352941176,0.9294117647058824,0.9441176470588235,0.9329411764705883,0.01075039228382179,1113,0.9551470588235295,0.9588235294117647,0.9632352941176471,0.9558823529411765,0.9544117647058824,0.9575000000000001,0.003235294117647047
1282,25.18967604637146,0.7729251020613178,0.08247237205505371,0.055525092382153626,squared_error,0.005,4,0.5,15,50,400,"{'criterion': 'squared_error', 'learning_rate': 0.005, 'max_depth': 4, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 50, 'n_estimators': 400}",0.9470588235294117,0.9176470588235294,0.9147058823529411,0.9352941176470588,0.95,0.9329411764705883,0.014575896109839843,1113,0.9551470588235295,0.9595588235294118,0.9632352941176471,0.9580882352941177,0.9544117647058824,0.9580882352941176,0.003188159321864518
606,13.552407693862914,0.6195137207938363,0.03678598403930664,0.04458569531358886,friedman_mse,0.009,5,0.4,15,50,200,"{'criterion': 'friedman_mse', 'learning_rate': 0.009, 'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 15, 'min_samples_split': 50, 'n_estimators': 200}",0.9470588235294117,0.9205882352941176,0.9176470588235294,0.9352941176470588,0.9441176470588235,0.9329411764705883,0.011968817617279894,1113,0.9573529411764706,0.9647058823529412,0.9654411764705882,0.9588235294117647,0.9595588235294118,0.9611764705882354,0.0032685457016018806
1578,14.239172220230103,0.3550576616350126,0.05555171966552734,0.05244998462285397,squared_error,0.009,5,0.4,15,50,200,"{'criterion': 'squared_error', 'learning_rate': 0.009, 'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 15, 'min_samples_split': 50, 'n_estimators': 200}",0.9411764705882353,0.9205882352941176,0.9176470588235294,0.9382352941176471,0.9470588235294117,0.9329411764705883,0.011676137200752487,1113,0.9610294117647059,0.9625,0.9654411764705882,0.9610294117647059,0.9602941176470589,0.9620588235294119,0.001836764117175993
